id;username;Country;Global Ranking;Country Ranking;pp;Level;Medals;Total Play Time;Followers;Mapping Subscribers;Joined;Plays With;Forum Posts;Comments;Ranked Score;Hit Accuracy;Play Count;Total Score;Total Hits;Maximum Combo;Replays Watched by Others;XH_count;X_count;SH_count;S_count;A_count;url
126;gchxp;China;-;-;0;45;3;38;24;0;2007-09-22T05:12:43.000Z;;5;0;339650452;0,9669;1314;611884550;212039;836;0;0;11;1;91;255;https://osu.ppy.sh/users/126/osu
127;Motto_old;Canada;-;-;0;0;0;19;6;0;2007-09-22T07:02:34.000Z;;48;0;21814670;0,9438;539;176972695;0;0;6;0;3;0;14;12;https://osu.ppy.sh/users/127/osu
128;pnlhk_old;Hong Kong;-;-;0;10;0;2;3;0;2007-09-22T09:34:22.000Z;Mouse;5;0;1343590;0,8914;50;6672055;1735;0;0;0;0;1;0;1;https://osu.ppy.sh/users/128/osu
131;Revox_old;Australia;-;-;0;0;0;12;4;0;2007-09-23T03:48:58.000Z;;3;0;9162358;0,7986;340;47327187;0;0;1;0;0;0;1;3;https://osu.ppy.sh/users/131/osu
138;Devar_old;Australia;-;-;0;7;0;2;1;0;2007-09-23T06:38:11.000Z;;0;0;1025296;0,7591;44;2659677;42;0;0;0;0;0;0;0;https://osu.ppy.sh/users/138/osu
142;Datawalke;United States;-;-;0;11;2;6;2;0;2007-09-23T07:15:52.000Z;;2;0;6097225;0,7712;160;10717354;1224;217;0;0;0;0;0;3;https://osu.ppy.sh/users/142/osu
143;Marauder_old;United States;-;-;0;0;0;2;1;0;2007-09-23T07:33:07.000Z;;0;0;7389000;0,8661;63;19596810;2142;0;3;0;1;0;1;6;https://osu.ppy.sh/users/143/osu
152;Aardvark Barber;United States;-;-;0;9;0;0.58;2;0;2007-09-23T18:33:45.000Z;;0;0;3342088;0,8556;27;5115598;4152;187;0;0;0;0;0;1;https://osu.ppy.sh/users/152/osu
158;Sonicandtails_old;United States;-;-;0;18;0;7;2;0;2007-09-23T19:24:46.000Z;;0;0;8576479;0,8967;205;40429704;25182;0;0;0;0;0;3;5;https://osu.ppy.sh/users/158/osu
159;meyou22;Canada;-;-;0;9;1;1.47;14;3;2007-09-23T19:33:44.000Z;;46;0;2463654;0,7625;44;5931792;246;0;2;0;0;0;0;0;https://osu.ppy.sh/users/159/osu
163;cagaihb;United States;-;-;0;0;0;5;2;0;2007-09-23T19:53:08.000Z;;0;0;4861066;0,857;133;21747628;0;0;2;0;0;0;0;2;https://osu.ppy.sh/users/163/osu
164;anigamersk;United States;-;-;0;7;0;0.53;1;0;2007-09-23T20:00:52.000Z;;0;0;1460664;0,8564;31;2587846;2726;156;0;0;0;0;0;2;https://osu.ppy.sh/users/164/osu
167;krisko6;United States;-;-;0;22;4;9;2;0;2007-09-23T20:30:28.000Z;;8;0;24703406;0,9167;300;76445100;18022;340;8;0;1;0;3;19;https://osu.ppy.sh/users/167/osu
171;villadelfia;Belgium;-;-;0;9;1;0.55;1;0;2007-09-23T21:28:02.000Z;;1;0;3631680;0,9;20;4688324;2814;240;0;0;0;0;0;4;https://osu.ppy.sh/users/171/osu
172;Xionkaiser;Mexico;-;-;0;41;1;38;3;0;2007-09-23T21:32:21.000Z;;3;0;141124681;0,9404;1097;458380413;32447;507;1;0;2;0;44;74;https://osu.ppy.sh/users/172/osu
174;Skyefire;United States;-;-;0;29;2;24;2;0;2007-09-23T21:36:47.000Z;;0;0;71818134;0,9359;668;173393559;115536;101;6;0;1;0;17;33;https://osu.ppy.sh/users/174/osu
182;ctkxtreme;United States;-;-;0;38;7;21;3;0;2007-09-23T22:38:10.000Z;;0;0;232778190;0,9533;907;359285637;119737;625;1;0;3;0;66;153;https://osu.ppy.sh/users/182/osu
184;GSGold;United States;-;-;0;0;0;70;3;0;2007-09-23T22:50:27.000Z;;21;0;293985300;0,9563;1941;647403816;0;0;0;0;11;0;73;134;https://osu.ppy.sh/users/184/osu
185;Jrfuzz;Russian Federation;-;-;0;55;3;65;2;0;2007-09-23T22:56:58.000Z;;0;0;150411691;0,9032;299;1124370723;406847;596;0;0;6;1;23;41;https://osu.ppy.sh/users/185/osu
189;LennaLeFay;United States;747317;13098;1108;58;29;63;8;0;2007-09-23T23:37:59.000Z;Mouse, Keyboard;39;0;362998833;0,9602;2998;1291017471;52909;785;1;6;14;3;25;216;https://osu.ppy.sh/users/189/osu
192;scyfir;United States;-;-;0;27;2;21;1;0;2007-09-24T00:02:02.000Z;;0;0;56739090;0,826;994;132193385;11557;547;0;0;0;0;0;17;https://osu.ppy.sh/users/192/osu
195;purophet;United States;-;-;0;0;0;8;1;0;2007-09-24T00:54:39.000Z;;4;0;41528199;0,9317;223;85769938;0;0;5;0;2;0;17;22;https://osu.ppy.sh/users/195/osu
198;ddrballer123;United States;2511289;371348;4;3;2;0.32;1;0;2007-09-24T01:30:19.000Z;;1;0;42384;0,6286;26;306467;866;38;0;0;0;0;0;0;https://osu.ppy.sh/users/198/osu
199;BSOrchid;Spain;-;-;0;0;0;2;1;0;2007-09-24T01:31:12.000Z;;2;0;1133493;0,714;44;1823158;0;0;0;0;0;0;1;0;https://osu.ppy.sh/users/199/osu
201;Raine_old;Canada;-;-;0;0;0;0.65;2;0;2007-09-24T01:53:40.000Z;;9;0;406692;0,6456;18;936742;0;0;1;0;0;0;0;0;https://osu.ppy.sh/users/201/osu
204;Ameto11;Brazil;956913;33493;737;60;37;98;8;0;2007-09-24T02:21:41.000Z;Mouse, Keyboard;38;0;192422983;0,9611;5297;1463867754;535897;539;1;90;6;0;48;170;https://osu.ppy.sh/users/204/osu
230;Eek__old;Sweden;-;-;0;0;0;5;1;0;2007-09-24T11:22:16.000Z;;0;0;7091140;0,8227;127;25205955;0;0;0;0;0;0;0;4;https://osu.ppy.sh/users/230/osu
233;MLAKun;Belgium;-;-;0;17;0;11;4;1;2007-09-24T11:57:17.000Z;;0;0;16180688;0,8876;345;33114338;9173;228;0;0;0;0;7;18;https://osu.ppy.sh/users/233/osu
241;Zephyr54;United States;-;-;0;21;10;4;3;0;2007-09-24T13:55:26.000Z;;3;0;36850146;0,9338;151;66299711;17449;563;0;0;0;0;8;28;https://osu.ppy.sh/users/241/osu
251;Camisado_old;United States;-;-;0;0;0;5;1;0;2007-09-24T17:47:15.000Z;;0;0;3128540;0,8236;132;15029288;0;0;0;0;0;0;0;0;https://osu.ppy.sh/users/251/osu
253;Anemone_old;United States;-;-;0;0;0;2;2;0;2007-09-24T18:36:26.000Z;;0;0;2832708;0,786;44;4079590;295;0;0;0;0;0;0;0;https://osu.ppy.sh/users/253/osu
254;Bigs_old;South Korea;-;-;0;1;0;0.0;2;0;2007-09-24T19:03:08.000Z;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://osu.ppy.sh/users/254/osu
261;JC FirE_old;Puerto Rico;-;-;0;60;5;98;2;0;2007-09-24T21:34:07.000Z;;2;0;817749101;0,9769;3061;1485657051;456422;702;16;0;28;0;164;459;https://osu.ppy.sh/users/261/osu
263;YoKozo_old;United States;-;-;0;9;0;0.93;1;0;2007-09-24T22:37:32.000Z;;0;0;1227370;0,8663;49;5223790;5251;157;0;0;0;0;0;2;https://osu.ppy.sh/users/263/osu
265;DJ Tomoe;Mexico;-;-;0;0;0;4;1;0;2007-09-25T00:08:35.000Z;;4;0;3782254;0,8827;112;11233732;0;0;5;0;1;0;1;6;https://osu.ppy.sh/users/265/osu
271;Nimajneb_old;United States;-;-;0;6;0;2;1;0;2007-09-25T02:26:53.000Z;;0;0;755236;0,7189;59;1578230;30;0;0;0;0;0;0;0;https://osu.ppy.sh/users/271/osu
272;legsweeper;Japan;-;-;0;59;48;44;9;0;2007-09-25T02:37:14.000Z;;0;0;827734605;0,9779;1682;1401438271;349329;930;0;0;10;1;105;344;https://osu.ppy.sh/users/272/osu
274;Oddbrother;United States;-;-;0;16;0;4;9;2;2007-09-25T03:26:26.000Z;Mouse, Tablet, Touch Screen;42;0;12548098;0,9059;113;27981120;136;398;267;0;2;0;2;10;https://osu.ppy.sh/users/274/osu
285;zetty_old;Australia;-;-;0;21;2;9;6;0;2007-09-25T12:44:53.000Z;Mouse, Keyboard;14;0;35058687;0,9108;307;60296148;35927;540;0;0;0;0;27;30;https://osu.ppy.sh/users/285/osu
290;gekomees;Estonia;-;-;0;28;0;26;1;0;2007-09-25T14:42:32.000Z;;3;0;67679609;0,9611;724;154156070;5386;345;10;0;7;0;40;68;https://osu.ppy.sh/users/290/osu
293;Demicol;Finland;-;-;0;91;52;197;33;1;2007-09-25T17:21:19.000Z;Keyboard, Tablet;34;4;2012978661;0,9477;104;5186465287;1542348;1186;16;1;17;6;156;632;https://osu.ppy.sh/users/293/osu
301;IcePagoda;United States;-;-;0;0;0;0.1;15;6;2007-09-25T20:15:19.000Z;;8;0;162716;0,5201;3;171136;0;0;0;0;0;0;0;0;https://osu.ppy.sh/users/301/osu
305;gwimmel;United States;-;-;0;15;0;4;5;0;2007-09-25T23:04:20.000Z;;4;0;2130768;0,769;104;23485252;516;100;7;0;0;0;0;0;https://osu.ppy.sh/users/305/osu
313;YesterdayCologne;United States;-;-;0;1;0;0.0;0;0;2007-09-26T04:41:06.000Z;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;https://osu.ppy.sh/users/313/osu
314;DexterMorgan_old;Brazil;-;-;0;16;0;5;0;0;2007-09-26T04:52:03.000Z;;4;0;4393522;0,9311;128;28543487;1124;322;0;0;0;0;3;1;https://osu.ppy.sh/users/314/osu
321;Ezzpify;Hong Kong;-;-;0;25;4;14;10;4;2007-09-26T08:03:36.000Z;Mouse, Keyboard;23;0;37886052;0,9401;398;108918712;29637;298;328;0;4;0;19;32;https://osu.ppy.sh/users/321/osu
326;Knurek;Poland;-;-;0;11;1;1.37;1;0;2007-09-26T09:59:56.000Z;;0;0;9097084;0,9117;56;10291666;6877;360;0;0;1;0;1;11;https://osu.ppy.sh/users/326/osu
327;janlokit;Hong Kong;-;-;0;25;1;14;0;0;2007-09-26T10:26:37.000Z;;0;0;79984234;0,9258;398;112783497;899;99;0;0;1;0;31;43;https://osu.ppy.sh/users/327/osu
329;unnamedguy_old;Hong Kong;-;-;0;10;0;3;0;0;2007-09-26T10:34:03.000Z;;0;0;2258216;0,8589;83;7315879;1513;0;0;0;0;0;2;3;https://osu.ppy.sh/users/329/osu
330;Isomac;Finland;-;-;0;23;1;16;1;0;2007-09-26T10:38:24.000Z;;0;0;23928058;0,9395;549;88894909;2668;441;35;0;1;0;19;18;https://osu.ppy.sh/users/330/osu
346;HarryMiste;Australia;-;-;0;7;0;0.57;0;0;2007-09-26T11:35:28.000Z;;0;0;1170719;0,8533;18;2616313;1996;0;0;0;0;0;0;1;https://osu.ppy.sh/users/346/osu
352;JacoPOP;Italy;-;-;0;17;0;10;13;5;2007-09-26T12:04:31.000Z;;61;0;8378636;0,8937;275;36229260;990;0;11;0;0;0;2;9;https://osu.ppy.sh/users/352/osu
370;jh47_old;Canada;-;-;0;0;0;1.0;0;0;2007-09-26T13:42:10.000Z;;0;0;891912;0,7888;28;2106366;0;0;3;0;0;0;0;1;https://osu.ppy.sh/users/370/osu
374;chung1214;Hong Kong;-;-;0;24;7;19;3;0;2007-09-26T13:55:20.000Z;;0;0;22376273;0,9101;613;92966461;45645;432;0;0;2;0;7;23;https://osu.ppy.sh/users/374/osu
379;kyanng;Hong Kong;-;-;0;0;0;2;0;0;2007-09-26T14:35:57.000Z;;0;0;71849;0,7766;54;4487020;0;0;0;0;0;0;0;0;https://osu.ppy.sh/users/379/osu
382;joefu;United States;-;-;0;57;12;36;11;0;2007-09-26T15:10:31.000Z;;0;0;192904939;0,9116;2762;1274039740;443529;764;0;0;0;1;12;56;https://osu.ppy.sh/users/382/osu
384;Triple T_old;Czechia;-;-;0;20;0;16;2;0;2007-09-26T15:38:48.000Z;;1;0;15575000;0,8958;451;56225561;3602;118;0;0;1;0;7;13;https://osu.ppy.sh/users/384/osu
400;RooM_old;France;-;-;0;0;0;3;1;0;2007-09-26T17:49:00.000Z;;1;0;5833505;0,858;83;20911168;0;0;0;0;0;0;0;2;https://osu.ppy.sh/users/400/osu
406;Bigboss87_old;Italy;-;-;0;31;0;22;4;0;2007-09-26T19:49:12.000Z;;5;0;73341067;0,9326;645;198999447;3075;142;979;0;1;0;25;43;https://osu.ppy.sh/users/406/osu
407;Level-Up!;Ireland;-;-;0;0;0;45;37;7;2007-09-26T19:55:04.000Z;;54;0;77787924;0,9397;1255;213216386;100775;0;2;1;4;0;23;41;https://osu.ppy.sh/users/407/osu
409;Mr. Yes;United States;-;-;0;0;0;5;2;1;2007-09-26T20:49:00.000Z;;6;0;6227520;0,9018;127;22666916;0;0;0;0;0;0;1;11;https://osu.ppy.sh/users/409/osu
410;Starrodkirby86;United States;-;-;0;100;36;1,016;983;275;2007-09-26T21:46:31.000Z;Mouse, Keyboard;3739;14;17966605950;0,992;45654;52012398876;7040077;1663;248;23;106;189;2254;1247;https://osu.ppy.sh/users/410/osu
416;marcelol_old;Brazil;-;-;0;4;0;0.12;1;0;2007-09-26T23:59:43.000Z;;0;0;171604;0,8154;5;449429;562;120;0;0;0;0;0;0;https://osu.ppy.sh/users/416/osu
424;caelus;United States;-;-;0;0;0;19;3;2;2007-09-27T03:32:03.000Z;;12;0;21186806;0,8589;516;80380476;0;0;7;0;0;0;0;11;https://osu.ppy.sh/users/424/osu
429;Camdon_old;United States;-;-;0;11;0;1.03;0;0;2007-09-27T04:42:26.000Z;;0;0;4880332;0,9059;32;9223500;371;0;0;0;0;0;1;6;https://osu.ppy.sh/users/429/osu
430;fa40;Taiwan;-;-;0;0;1;7;0;0;2007-09-27T05:19:55.000Z;;0;0;9470554;0,8624;189;25466090;16251;0;0;0;1;0;4;8;https://osu.ppy.sh/users/430/osu
431;Echo;New Zealand;-;-;0;87;10;221;274;32;2007-09-27T05:33:34.000Z;Mouse, Keyboard;3008;0;1529085775;0,9771;6495;4398348033;937371;573;870;7;17;16;242;155;https://osu.ppy.sh/users/431/osu
438;lohoishing;Hong Kong;-;-;0;0;0;21;0;0;2007-09-27T08:57:50.000Z;;0;0;10666874;0,785;591;97900461;0;0;0;0;0;0;0;2;https://osu.ppy.sh/users/438/osu
439;Alt0160;New Zealand;-;-;0;0;1;15;0;0;2007-09-27T09:09:37.000Z;;0;0;52459820;0,8941;408;123596061;0;0;0;0;1;0;11;33;https://osu.ppy.sh/users/439/osu
440;jksdsce;Hong Kong;-;-;0;1;0;0.0;0;0;2007-09-27T09:39:48.000Z;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://osu.ppy.sh/users/440/osu
441;Gnnn_old_1;Hong Kong;-;-;0;37;9;23;8;0;2007-09-27T11:17:51.000Z;;0;0;216289197;0,8977;1223;351125234;180334;627;0;0;0;0;23;96;https://osu.ppy.sh/users/441/osu
449;kwokyoyo2005;Hong Kong;-;-;0;33;11;22;4;0;2007-09-27T13:53:36.000Z;;0;0;169534308;0,9674;868;243738140;97822;621;0;1;24;0;92;176;https://osu.ppy.sh/users/449/osu
